evidenceID,title,description,timestamp,latitude,longitude,deviceId,userId,caseId,fileType,fileHash,googleDriveId
EVID011,LOG Evidence File,Speed and brake log from smart vehicle system,2019-04-25 18:54:00,134.1872836,147.4096724,,USER005,CASE008,log,b8a8d8b363104eb4624a519e86e672d24250791f1fa8b72fce8945df396eb7f8,drive-f37ce37a
EVID012,MP4 Evidence File,Footage captured by intersection CCTV camera,2019-04-25 19:00:35,138.2542211,151.7498629,,USER005,CASE006,mp4,692ebb63e781dfd4a113215ac2fef948a48835c06a6ab8c20020917b8d6911aa,drive-811e0968
EVID013,LOG Evidence File,Vehicle telemetry log from onboard computer,,127.837368562235,144.39408896223497,192.168.1.250,USER011,CASE010,log,e80d3b8bdb8fa5674f8d9a65c8ec4535e42f0f37e3e3cbe6deb2f43c539d8a56,drive-244e9c1a
EVID014,LOG Evidence File,Remote ECU system diagnostic log,,132.4861231,148.8101264,192.168.1.103,USER007,CASE007,log,01685b590c3c19fdec23f9f96e9baf8e296db070dafd40c0fc716f1a880569e3,drive-800f3f21
EVID015,LOG Evidence File,Airbag deployment log from vehicle sensor,2019-04-25 19:02:00,138.9944515,152.6999132,fe80::601f:9cde:4832:2f3f,,CASE006,log,9ddaf962378fe941c96e6871087a0e318285e700a08f3490d6e4bf03bba986e7,drive-9cec5676
EVID016,MP4 Evidence File,Footage captured by intersection CCTV camera,2019-04-25 19:03:59,133.6851647,149.7909539,192.168.1.6,USER002,CASE007,mp4,1888c0685c57a94fcf8192edc7a977ed26f978d6b27dcf48bba646e13a150ea4,drive-84550dff
EVID017,LOG Evidence File,Remote ECU system diagnostic log,,140.1853672,,192.168.1.17,USER006,CASE004,log,172c937ae28bcfc78a372df0ea582ee0e95464fdc14159b022405bf575719609,drive-59ff1997
EVID018,MP4 Evidence File,Bystander mobile video near the scene,2019-04-28 08:58:27,61.46856274,75.60279841,,USER006,CASE006,mp4,a0c25911b75801c38f70574c0c1cd5557ef3f7a018d5d32e925335a7e01bb669,drive-0b94fa5c
EVID019,MP4 Evidence File,Footage captured by intersection CCTV camera,2019-04-25 18:58:54,132.90557904893998,146.14499784894,192.168.1.31,USER013,CASE003,mp4,ca9e170b01b5174859839f676fb93ff0cdcb63bdbff5924e6daf2da1766f0899,drive-37c010a8
EVID020,JPG Evidence File,Snapshot from civilian phone,2019-04-28 09:00:02,,76.4699685,,USER006,CASE010,jpg,bb500961956eb2639cd4869b949220452120f3768acfff396094f3bb5f29d0cf,drive-adcddb80
EVID021,MP4 Evidence File,Bystander mobile video near the scene,,46.61344064,56.3100206,,USER002,CASE008,mp4,c7fe25467aca731215b27a4e9b15f8938ae56c8866d25ea1d26b2a2a6cb82726,drive-5695526d
EVID022,MP4 Evidence File,Dashcam video from involved vehicle,2019-04-25 18:56:57,,144.39426862446996,192.168.1.250,USER011,CASE003,mp4,bf124cf970dacf616bc3c0c32fadea55706d89c9fa84ade893f08960ec417cd2,drive-e3e96ffd
EVID023,LOG Evidence File,Airbag deployment log from vehicle sensor,2019-04-25 19:34:06,149.1601145,165.9876875,,,CASE004,log,eef1b78a38058487f69e70a5e9535955a32c7515258f52a71e2ac442060e1044,drive-71e97941
EVID024,JPG Evidence File,Snapshot from civilian phone,2019-04-25 18:57:34,,145.32704274894,192.168.1.33,USER010,CASE_FAKE_4,jpg,e7e30fd0de13f482fe8e39239458b568ffb19160b8bca27e5f08b740fe53cfbe,drive-38643c5b
EVID025,MP4 Evidence File,Surveillance clip from nearby traffic pole,2019-04-25 19:02:54,,146.14535717341,,USER015,CASE010,mp4,8a3fa87f6f3603ef3cedae9df5c1a7b8d6c450f69f5500e10c0fd49e5f55aa05,drive-d38d30d4
EVID026,JPG Evidence File,Image captured from smart vehicle camera,2019-04-25 18:34:01,121.920201462235,,192.168.1.191,USER001,CASE_FAKE_2,jpg,35a372f130cc36cc5e07ea4eca7606c5a1f84a523409f5c7a9ae85bc5cd13a19,drive-9026a9ac
EVID027,JPG Evidence File,Crash debris photo from police drone,2019-04-25 18:52:57,,143.05728406223497,192.168.1.34,USER001,CASE001,jpg,dd38cd53a5be352c71a79d2cea95be3168374ca930e3db644a9bd986a51ca98d,drive-55c9f0b9
EVID028,LOG Evidence File,Speed and brake log from smart vehicle system,2019-04-25 09:41:00,127.5104882,136.5836087,fe80::601f:9cde:4832:2f3f,USER012,CASE005,log,55b208547614aabdeed0af1864b09ee830c7cb5f4aad8f3a658afc51002a1448,drive-7b4736b3
EVID029,LOG Evidence File,Airbag deployment log from vehicle sensor,2019-04-25 18:36:01,121.92038112447,135.30849182446997,192.168.1.191,USER001,CASE006,log,e51ed9a20fbf9d8d670b484da56d0c99d2ae94695f72207f8fad87fbc1ca6f31,drive-8a62b8e3
EVID030,LOG Evidence File,Airbag deployment log from vehicle sensor,2019-04-25 19:04:00,138.99463116223498,152.70009286223498,fe80::601f:9cde:4832:2f3f,USER005,CASE007,log,9ddaf962378fe941c96e6871087a0e318285e700a08f3490d6e4bf03bba986e7,drive-76c6ebc4
EVID031,JPG Evidence File,Crash debris photo from police drone,2019-04-01 15:18:12,12.40433165,,192.168.1.180,,CASE010,jpg,ec59cf461e6079b98eb30cf974a0cdf57db9415a2501b6fc1cb9210314565f1d,drive-9cc8f5e4
EVID032,JPG Evidence File,Crash debris photo from police drone,2019-04-01 15:19:32,,21.22713018,192.168.1.30,,CASE006,jpg,e02c55fb1cd49d517ace7b8a7ae9b725fdca375eee0cbf51be66a647541dc65c,drive-3c635c4e
EVID033,MP4 Evidence File,Surveillance clip from nearby traffic pole,,13.52107553,23.34913743,,USER013,CASE009,mp4,7d685e200f72c7914e9d3cac6ff69cb68fdeba0326a55d44f0130e069817b381,drive-69257ccb
EVID034,MP4 Evidence File,Footage captured by intersection CCTV camera,2019-04-25 19:01:34,132.25497687341,,192.168.1.33,USER011,CASE007,mp4,8396698d65e7ba4c5153d26d1deb3aa7d1b58d6ad436645deb55a4225223b4ca,drive-f0b99812
EVID035,JPG Evidence File,Still image from traffic light pole,2019-04-01 18:18:32,,,192.168.1.30,USER009,CASE_FAKE_0,jpg,793ba4274cac13161ed78ea012a394973c451bbe5fde89fec7d29242d472b7d7,drive-b301c53d
EVID036,MP4 Evidence File,Dashcam video from involved vehicle,2019-04-25 18:54:57,,143.05746372446995,192.168.1.34,USER001,CASE003,mp4,7c1690e6895a63a8c7fa48dae17e574027dfd2ae65a0ebb74855362c63ba5f89,drive-e11e9f3d
EVID037,LOG Evidence File,Vehicle telemetry log from onboard computer,2019-04-25 19:06:54,132.90629769787998,146.14571649788,192.168.1.31,USER013,CASE002,log,9c84bcd39dc7155003951909af4ad86daaae536bb5892e9de290d4b4b18fd7d6,drive-a253d497
EVID038,JPG Evidence File,Crash debris photo from police drone,2019-04-25 19:10:54,132.90665702234998,146.14607582234999,192.168.1.31,,CASE006,jpg,875a319abee4f106e2b7b5b6cbdef0c24d5bd3b6920e466899b5f5c98ce06c24,drive-564f5830
EVID039,LOG Evidence File,Speed and brake log from smart vehicle system,2019-04-23 22:25:06,198.0977332,206.6103603,fe80::601f:9cde:4832:2f3f,USER015,CASE007,log,bb8760cc6c071c4ce80fce6c342de97325f337100f89cf012e8abd26f977928b,drive-09d3950c
EVID040,MP4 Evidence File,Footage captured by intersection CCTV camera,2019-04-23 22:28:51,200.1837712,209.0415303,192.168.1.250,USER004,CASE010,mp4,31f18e32a416686ece42e2c382fbf05c0276cb16b05aa65aabd356d4b181309a,drive-94a76406
EVID041,LOG Evidence File,Vehicle telemetry log from onboard computer,2019-04-25 18:38:01,121.920560786705,135.30867148670495,192.168.1.191,,CASE007,log,01ad5f47972c4915935b90dd98ff077b746310f2fee304a4764b59e22f1188fc,drive-0e62baea
EVID042,MP4 Evidence File,Dashcam video from involved vehicle,2019-04-25 19:05:34,132.25533619787998,145.32776139787998,192.168.1.33,,CASE003,mp4,a0c25911b75801c38f70574c0c1cd5557ef3f7a018d5d32e925335a7e01bb669,drive-242b98c3
EVID043,LOG Evidence File,Remote ECU system diagnostic log,,,,,USER013,CASE010,log,3cf67d0ebdcb122506be362aa270defebff266e72182cecf542c91e3a45688a3,drive-332142c8
EVID044,MP4 Evidence File,Dashcam video from involved vehicle,2019-04-25 18:56:57,126.976080286705,143.05764338670494,192.168.1.34,USER001,CASE003,mp4,a520592902283c983d83c444de485f6c151a50de5d9ae46133d6b60c8987c6ef,drive-6cf4e848
EVID045,MP4 Evidence File,Surveillance clip from nearby traffic pole,2019-04-23 22:42:31,208.2770121,216.2481129,192.168.1.152,USER005,CASE010,mp4,e8c429861bb4826ef548bbbb36c33c52ca8972ecdc6a4158a88218f681cad21d,drive-400a04ed
EVID046,LOG Evidence File,Remote ECU system diagnostic log,2019-04-25 18:58:57,126.97625994894,143.05782304893992,192.168.1.34,,CASE010,log,fda1771735673182be0f5e85d923b22a87257a72e2d701316980c8634cde3c14,drive-6a27edba
EVID047,JPG Evidence File,Crash debris photo from police drone,2019-04-25 19:14:54,,,192.168.1.31,USER010,CASE010,jpg,cb03dee03b058cd90b473f5d25cc2a2ff713ea3c9e14ea13909696e04be0b9f1,drive-2ddc180f
EVID048,MP4 Evidence File,Dashcam video from involved vehicle,2019-04-25 19:06:00,138.99481082446997,152.70027252446997,fe80::601f:9cde:4832:2f3f,,CASE006,mp4,9ddaf962378fe941c96e6871087a0e318285e700a08f3490d6e4bf03bba986e7,drive-efc8fa4d
EVID049,JPG Evidence File,Still image from traffic light pole,,5.892444754,15.39257582,192.168.1.133,USER002,CASE008,jpg,c49299d60884db9609eab121d4350547d6d963e7051d8512eca35e3aab73304e,drive-866cdd83
EVID050,MP4 Evidence File,Bystander mobile video near the scene,2019-04-27 05:08:24,5.743870916,,192.168.1.250,USER009,CASE010,mp4,d6908a9317726ae9ed2010c799930b2ff0206d9ab2035fcfb99ed41ce460e251,drive-a49e5cb4
EVID051,JPG Evidence File,Image captured from smart vehicle camera,2019-04-25 19:00:57,126.976439611175,143.0580027111749,192.168.1.34,USER001,CASE007,jpg,5f27075de17ef3093992fb49f7d6a91c4a6bc6c5043d79c66830c2cdeafe7b96,drive-17090d8e
EVID052,JPG Evidence File,Image captured from smart vehicle camera,2019-04-27 05:11:00,7.457479943,16.70934407,192.168.1.37,USER003,CASE003,jpg,6775aabae02bc33a0812f8af848cb40761afb945a813ce15ef4f4ba9de45c185,drive-178d5f27
EVID053,LOG Evidence File,Vehicle telemetry log from onboard computer,2019-04-27 05:11:00,6.763040117,16.44579573,192.168.1.152,USER001,CASE008,log,0a019b80121ff3495c834f2fb8e602652d7e77d1df1e3a135ae4b6025e36f4ba,drive-ff0da91e
EVID054,JPG Evidence File,Snapshot from civilian phone,2019-04-27 05:11:05,7.474029019,16.82695614,192.168.1.36,USER003,CASE002,jpg,196f18a821beb2aceec9aee550e000302e2b84a711ca2e7e5048160e06a7c9b6,drive-fed1238a
EVID055,JPG Evidence File,Crash debris photo from police drone,2019-04-27 05:11:05,6.767315525,16.47110228,,USER010,CASE005,jpg,8ce2bfb841d1144cedcc835b540a129b719c5fab2c04ea1a25499728983456e2,drive-3dcac040
EVID056,LOG Evidence File,Remote ECU system diagnostic log,2019-04-27 05:11:25,7.504563399,,fe80::1087:c341:7263:ead3,USER009,CASE010,log,018ddd92ca24d8f668309804ab064e76c05e8d4427e3fb25fdb87c2a0ff3cee2,drive-2350200e
EVID057,MP4 Evidence File,Dashcam video from involved vehicle,,121.92074044894,135.30885114893994,,USER001,CASE004,mp4,ca160fe243662d404e5808432365e119e07118306820267bca78e640eb192424,drive-bbc07b7f
EVID058,MP4 Evidence File,Surveillance clip from nearby traffic pole,,126.97661927341,143.0581823734099,192.168.1.34,USER001,CASE003,mp4,e0af64a96becf38a3615af8d755a1ebc0528f4e95edc00f95db0043d0cf9bd89,drive-1c3d1208
EVID059,LOG Evidence File,Speed and brake log from smart vehicle system,2019-04-27 05:12:06,7.396822928,16.85409994,2405:6e00:10ce:2c00:20c:29ff:feee:e07a,USER003,CASE007,log,d97a2aa1d158c61d2d31baef3bf0a0d285296f1fbe4b0bc24154bc7216f9b2a4,drive-fa236311
EVID060,LOG Evidence File,Vehicle telemetry log from onboard computer,2019-04-27 05:12:10,7.692735819,,192.168.1.34,USER003,CASE007,log,4dab56a0a49253a43f9d95cea4e90efe11e96e16a046b24c590280502c73b28c,drive-f4c6da47
EVID061,JPG Evidence File,Still image from traffic light pole,,62.272378342235,76.47014816223499,192.168.1.190,USER006,CASE002,jpg,067cccd470dbb06d79fce9070743ddb9872ca10521d55f8c0627a417dfb4f88d,drive-efed7cb0
EVID062,MP4 Evidence File,Dashcam video from involved vehicle,2019-04-25T18:35:39.000Z,116.5218645,132.1626580,192.168.1.37,,CASE010,mp4,89aaf39849b08315c966065709cbba1794197d130c104fc641ca51aa0d4f1bbb,drive-nearmiss-0
EVID063,MP4 Evidence File,Footage captured by intersection CCTV camera,2019-04-25T18:38:01.000Z,NaN,NaN,,USER001,CASE006,mp4,35a372f130cc36cc5e07ea4eca7606c5a1f84a523409f5c7a9ae85bc5cd13a19,drive-nearmiss-1
EVID064,JPG Evidence File,Crash debris photo from police drone,2019-04-25T18:53:34.000Z,132.2539790,NaN,192.168.1.33,,CASE010,jpg,f8a4f0131e9912786d22dd8779751389ebc6e1e8cbc4c69a939d86bd39f7b209,drive-nearmiss-2
EVID065,MP4 Evidence File,Bystander mobile video near the scene,2019-04-25T18:54:59.000Z,NaN,145.5395231,192.168.1.30,USER001,CASE010,mp4,6daa2e996d7a806369347ee8deec555b085d6cda4fb7ee285a7c1e052724d8c3,drive-nearmiss-3
EVID066,JPG Evidence File,Snapshot from civilian phone,2019-04-25T18:56:57.000Z,126.9756614,143.0571690,192.168.1.34,USER001,CASE010,jpg,e013acc6a85ff2d96f75e124fc0c1ae0d97633e5188402c640b7d4299dd7f260,drive-nearmiss-5
EVID067,JPG Evidence File,Snapshot from civilian phone,2019-04-25T19:00:54.000Z,132.9052533,146.1447822,192.168.1.31,USER007,CASE010,jpg,1951575d53714f576dae9112444378686bdc8976acc88b9c9d889103eabaa816,drive-nearmiss-7
EVID068,MP4 Evidence File,Surveillance clip from nearby traffic pole,2019-04-25T18:56:57.000Z,127.8372331,144.3940667,192.168.1.250,USER011,CASE008,mp4,67e4fe05219b65a644abfce8b503cbc4216e1900c57208cb79238a3ec5e1e6d4,drive-nearmiss-8
EVID069,JPG Evidence File,Image captured from smart vehicle camera,2019-04-25T18:57:34.000Z,132.2543230,145.3267236,192.168.1.33,USER008,CASE001,jpg,ab8185cfe31eda8e59eb7541ee8c1f8db4cf8801ae8e55b3f920a575f2016ea9,drive-nearmiss-9
EVID070,LOG Evidence File,Speed and brake log from smart vehicle system,2019-04-25T18:59:00.000Z,134.1874150,147.4097491,,USER005,CASE010,log,b8a8d8b363104eb4624a519e86e672d24250791f1fa8b72fce8945df396eb7f8,drive-nearmiss-10
EVID071,MP4 Evidence File,Footage captured by intersection CCTV camera,2019-04-25T19:06:35.000Z,138.2542975,151.7500335,,USER005,CASE_FAKE_3,mp4,692ebb63e781dfd4a113215ac2fef948a48835c06a6ab8c20020917b8d6911aa,drive-nearmiss-11
EVID072,LOG Evidence File,Airbag deployment log from vehicle sensor,2019-04-25T19:07:00.000Z,138.9945593,152.7000117,fe80::601f:9cde:4832:2f3f,,CASE010,log,9ddaf962378fe941c96e6871087a0e318285e700a08f3490d6e4bf03bba986e7,drive-nearmiss-14
EVID073,MP4 Evidence File,Footage captured by intersection CCTV camera,2019-04-25T19:09:59.000Z,133.6852926,149.7910788,192.168.1.6,USER002,CASE001,mp4,1888c0685c57a94fcf8192edc7a977ed26f978d6b27dcf48bba646e13a150ea4,drive-nearmiss-15
EVID074,MP4 Evidence File,Bystander mobile video near the scene,2019-04-28T09:02:27.000Z,61.4686574,75.6029166,,USER006,CASE002,mp4,a0c25911b75801c38f70574c0c1cd5557ef3f7a018d5d32e925335a7e01bb669,drive-nearmiss-17
EVID075,MP4 Evidence File,Footage captured by intersection CCTV camera,2019-04-25T19:02:54.000Z,132.9056211,146.1451355,192.168.1.31,USER013,CASE_FAKE_1,mp4,ca9e170b01b5174859839f676fb93ff0cdcb63bdbff5924e6daf2da1766f0899,drive-nearmiss-18
EVID076,JPG Evidence File,Snapshot from civilian phone,2019-04-28T09:05:02.000Z,NaN,76.4699838,,USER006,CASE010,jpg,bb500961956eb2639cd4869b949220452120f3768acfff396094f3bb5f29d0cf,drive-nearmiss-19
EVID077,MP4 Evidence File,Dashcam video from involved vehicle,2019-04-25 18:31:39,116.5217044,132.1625042,192.168.1.37,,CASE005,mp4,89aaf39849b08315c966065709cbba1794197d130c104fc641ca51aa0d4f1bbb,drive-falsepos-0
EVID078,MP4 Evidence File,Footage captured by intersection CCTV camera,2019-04-25 18:32:01,,,,USER001,CASE010,mp4,35a372f130cc36cc5e07ea4eca7606c5a1f84a523409f5c7a9ae85bc5cd13a19,drive-falsepos-1
EVID079,JPG Evidence File,Crash debris photo from police drone,2019-04-25 18:49:34,132.2538989,,192.168.1.33,,CASE008,jpg,f8a4f0131e9912786d22dd8779751389ebc6e1e8cbc4c69a939d86bd39f7b209,drive-falsepos-2
EVID080,MP4 Evidence File,Bystander mobile video near the scene,2019-04-25 18:49:59,,145.5394472,192.168.1.30,USER001,CASE010,mp4,6daa2e996d7a806369347ee8deec555b085d6cda4fb7ee285a7c1e052724d8c3,drive-falsepos-3
EVID081,LOG Evidence File,Speed and brake log from smart vehicle system,,132.9048604,146.1442792,192.168.1.31,,CASE010,log,300444450e68be9da9ddeabcc4f345e0fd4f5de427ed343e2beef4a29765b093,drive-falsepos-4
EVID082,MP4 Evidence File,Dashcam video from involved vehicle,2019-04-24T18:31:39.000Z,117.0217044,131.6625042,192.168.1.37,SPOOFED_,CASE004,mp4,89aaf39849b08315c966065709cbba1794197d130c104fc641ca51aa0d4f1bbb,drive-adv-0
EVID083,MP4 Evidence File,Footage captured by intersection CCTV camera,2019-04-24T18:32:01.000Z,NaN,NaN,,SPOOFED_USER001,CASE010,mp4,35a372f130cc36cc5e07ea4eca7606c5a1f84a523409f5c7a9ae85bc5cd13a19,drive-adv-1
EVID084,JPG Evidence File,Crash debris photo from police drone,2019-04-24T18:49:34.000Z,132.7538989,NaN,192.168.1.33,SPOOFED_,CASE001,jpg,f8a4f0131e9912786d22dd8779751389ebc6e1e8cbc4c69a939d86bd39f7b209,drive-adv-2
EVID085,MP4 Evidence File,Bystander mobile video near the scene,2019-04-24T18:49:59.000Z,NaN,145.0394472,192.168.1.30,SPOOFED_USER001,CASE006,mp4,6daa2e996d7a806369347ee8deec555b085d6cda4fb7ee285a7c1e052724d8c3,drive-adv-3
EVID086,JPG Evidence File,Snapshot from civilian phone,2019-04-24T18:50:57.000Z,127.4755413,142.5571044,192.168.1.34,SPOOFED_USER001,CASE003,jpg,e013acc6a85ff2d96f75e124fc0c1ae0d97633e5188402c640b7d4299dd7f260,drive-adv-5
EVID087,JPG Evidence File,Snapshot from civilian phone,2019-04-24T18:54:54.000Z,133.4052197,145.6446385,192.168.1.31,SPOOFED_USER007,CASE010,jpg,1951575d53714f576dae9112444378686bdc8976acc88b9c9d889103eabaa816,drive-adv-7
EVID088,MP4 Evidence File,Surveillance clip from nearby traffic pole,2019-04-24T18:52:57.000Z,128.3371889,143.8939093,192.168.1.250,SPOOFED_USER011,CASE010,mp4,67e4fe05219b65a644abfce8b503cbc4216e1900c57208cb79238a3ec5e1e6d4,drive-adv-8
EVID089,JPG Evidence File,Image captured from smart vehicle camera,2019-04-24T18:53:34.000Z,132.7542582,144.8266834,192.168.1.33,SPOOFED_USER008,CASE002,jpg,ab8185cfe31eda8e59eb7541ee8c1f8db4cf8801ae8e55b3f920a575f2016ea9,drive-adv-9
